glyph,reference_font,reference_upm,reference_width_em,reference_height_em,reference_center_x_em,reference_center_y_em,old_width_em,old_height_em,old_center_x_em,old_center_y_em,new_width_em,new_height_em,new_center_x_em,new_center_y_em,uniform_scale,dx,dy
あ,Noto Sans CJK JP Regular,1000,0.796,0.844,0.507,0.372,0.5634765625,0.662109375,0.46728515625,0.3525390625,0.6318359375,0.7529296875,0.48681640625,0.36279296875,1.143952,19.334,9.464
あ,Source Han Sans JP Regular,1000,0.796,0.844,0.507,0.372,0.5634765625,0.662109375,0.46728515625,0.3525390625,0.6318359375,0.7529296875,0.48681640625,0.36279296875,1.143952,19.334,9.464
い,Noto Sans CJK JP Regular,1000,0.794,0.709,0.523,0.3455,0.673828125,0.5556640625,0.46875,0.34912109375,0.76171875,0.6318359375,0.49609375,0.34716796875,1.16928,29.776,-3.354
い,Source Han Sans JP Regular,1000,0.794,0.709,0.523,0.3455,0.673828125,0.5556640625,0.46875,0.34912109375,0.76171875,0.6318359375,0.49609375,0.34716796875,1.16928,29.776,-3.354
う,Noto Sans CJK JP Regular,1000,0.639,0.831,0.4855,0.3675,0.3095703125,0.638671875,0.46826171875,0.3525390625,0.365234375,0.7353515625,0.4765625,0.35986328125,1.113119,6.826,6.66
う,Source Han Sans JP Regular,1000,0.639,0.831,0.4855,0.3675,0.3095703125,0.638671875,0.46826171875,0.3525390625,0.365234375,0.7353515625,0.4765625,0.35986328125,1.113119,6.826,6.66
え,Noto Sans CJK JP Regular,1000,0.792,0.831,0.512,0.3735,0.443359375,0.5703125,0.4658203125,0.3486328125,0.5703125,0.7001953125,0.4892578125,0.36083984375,1.056177,21.144,7.232
え,Source Han Sans JP Regular,1000,0.792,0.831,0.512,0.3735,0.443359375,0.5703125,0.4658203125,0.3486328125,0.5703125,0.7001953125,0.4892578125,0.36083984375,1.056177,21.144,7.232
お,Noto Sans CJK JP Regular,1000,0.845,0.831,0.5275,0.3835,0.603515625,0.66015625,0.4677734375,0.3525390625,0.6865234375,0.7451171875,0.49755859375,0.36767578125,1.128032,30.08,15.352
お,Source Han Sans JP Regular,1000,0.845,0.831,0.5275,0.3835,0.603515625,0.66015625,0.4677734375,0.3525390625,0.6865234375,0.7451171875,0.49755859375,0.36767578125,1.128032,30.08,15.352
か,Noto Sans CJK JP Regular,1000,0.887,0.821,0.5215,0.3795,0.6416015625,0.478515625,0.46826171875,0.345703125,0.6083984375,0.650390625,0.49462890625,0.3623046875,0.973462,27.258,9.804
か,Source Han Sans JP Regular,1000,0.887,0.821,0.5215,0.3795,0.6416015625,0.478515625,0.46826171875,0.345703125,0.6083984375,0.650390625,0.49462890625,0.3623046875,0.973462,27.258,9.804
き,Noto Sans CJK JP Regular,1000,0.699,0.846,0.5095,0.375,0.4365234375,0.6650390625,0.46826171875,0.35205078125,0.4951171875,0.755859375,0.48876953125,0.3642578125,1.141468,21.614,11.25
き,Source Han Sans JP Regular,1000,0.699,0.846,0.5095,0.375,0.4365234375,0.6650390625,0.46826171875,0.35205078125,0.4951171875,0.755859375,0.48876953125,0.3642578125,1.141468,21.614,11.25
く,Noto Sans CJK JP Regular,1000,0.5210574512622631,0.869,0.4654712743688684,0.3695,0.3837890625,0.505859375,0.46826171875,0.3486328125,0.3779296875,0.6875,0.46630859375,0.359375,1.033786,0.5713,6.684
く,Source Han Sans JP Regular,1000,0.5210574512622631,0.869,0.4654712743688684,0.3695,0.3837890625,0.505859375,0.46826171875,0.3486328125,0.3779296875,0.6875,0.46630859375,0.359375,1.033786,0.5713,6.684
け,Noto Sans CJK JP Regular,1000,0.803,0.839,0.5205,0.3605,0.453125,0.6376953125,0.49609375,0.32470703125,0.677734375,0.7392578125,0.5087890625,0.34228515625,1.116316,41.496,-11.174
け,Source Han Sans JP Regular,1000,0.803,0.839,0.5205,0.3605,0.453125,0.6376953125,0.49609375,0.32470703125,0.677734375,0.7392578125,0.5087890625,0.34228515625,1.116316,41.496,-11.174
こ,Noto Sans CJK JP Regular,1000,0.662,0.728,0.504,0.339,0.4697265625,0.54296875,0.49169921875,0.34765625,0.6318359375,0.634765625,0.49755859375,0.34375,1.009348,30.298,-9.932
こ,Source Han Sans JP Regular,1000,0.662,0.728,0.504,0.339,0.4697265625,0.54296875,0.49169921875,0.34765625,0.6318359375,0.634765625,0.49755859375,0.34375,1.009348,30.298,-9.932
さ,Noto Sans CJK JP Regular,1000,0.704,0.84,0.51,0.378,0.4365234375,0.6630859375,0.46826171875,0.35205078125,0.4892578125,0.7509765625,0.48876953125,0.36474609375,1.135719,21.37,11.786
さ,Source Han Sans JP Regular,1000,0.704,0.84,0.51,0.378,0.4365234375,0.6630859375,0.46826171875,0.35205078125,0.4892578125,0.7509765625,0.48876953125,0.36474609375,1.135719,21.37,11.786
